HELPER ,Helper 2,NAMING CONVENTION,Inspection Task,Frequency,Unit Abb,REVIEWED COMMENTS,JB Task Assignment,Description,Measurement Type,Expected Value,Response Type
2.14SEBSemi-Annual,2.14,2.14-SEB-Semi-Annual,2.14-SA-SEB-1,Semi-Annual,SEB,"GSH - OR - FLEET (FLYGT), BORIS (SULZER)","GSH - OR - FLEET (FLYGT), BORIS (SULZER)","Inspect sewage ejector for accumulation of grit, dirt, and other solids. Clean sewage ejector basin for blockage in inlet, pump or pipes as necessary. Shutdown pumps as necessary to perform cleaning.",YesNo,Yes,Specific List
2.14SEBSemi-Annual,2.14,2.14-SEB-Semi-Annual,2.14-SA-SEB-2,Semi-Annual,SEB,"GSH - OR - FLEET (FLYGT), BORIS (SULZER)","GSH - OR - FLEET (FLYGT), BORIS (SULZER)","Check the guard rails, guide rails, hatches, ladders, covers, grates, lifting chains and other protections.",YesNo,Yes,Specific List
2.14SEBSemi-Annual,2.14,2.14-SEB-Semi-Annual,2.14-SA-SEB-2A,Semi-Annual,SEB,"GSH - OR - FLEET (FLYGT), BORIS (SULZER)","GSH - OR - FLEET (FLYGT), BORIS (SULZER)","Record condition of each item including any damage, corrosion, devices are secure, etc. Secure devices to ensure safety. Schedule replacement of devices as necessary.",YesNo,Yes,Specific List
2.12SPBSemi-Annual,2.12,2.12-SPB-Semi-Annual,2.12-SA-SPB-1,Semi-Annual,SPB,,GSH/CLEARBROOK,"Inspect sump pit basin for accumulation of grit, dirt, and other solids. Clean sump pit basin as necessary. Shutdown pumps as necessary to perform cleaning.",YesNo,Yes,Specific List
2.14SPBSemi-Annual,2.14,2.14-SPB-Semi-Annual,2.14-SA-SPB-1,Semi-Annual,SPB,,GSH/CLEARBROOK,"Inspect sump pit basin for accumulation of grit, dirt, and other solids. Clean sump pit basin as necessary. Shutdown pumps as necessary to perform cleaning.",YesNo,Yes,Specific List
2.3HX(PF)Quarterly,2.3,2.3-HX(PF)-Quarterly,2.3-Q-HX(PF)-4,Quarterly,HX(PF),GSH/TORFI,GSH/TORFI,"Check for proper operation of control valves and vents. Clean, and verify proper operation.",YesNo,Yes,Specific List
2.3HX(ST)Quarterly,2.3,2.3-HX(ST)-Quarterly,2.3-Q-HX(ST)-3,Quarterly,HX(ST),GSH/TORFI,GSH/TORFI,"Check for proper operation of control valves and vents. Clean, and verify proper operation.",YesNo,Yes,Specific List
2.3SDSSemi-Annual,2.3,2.3-SDS-Semi-Annual,2.3-SA-SDS-7,Semi-Annual,SDS,GSH/TORFI,GSH/TORFI,"Check steam system controls. Clean, and verify proper
operation.",YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-1,Monthly,BA,,KEYS FENCE,Preventive Maintenance Inspection ,YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-2,Monthly,BA,,KEYS FENCE, System Software Preventive Maintenance (PM),YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-3,Monthly,BA,,KEYS FENCE, Electronic Controls PM,YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-4,Monthly,BA,,KEYS FENCE, Check Fluid Levels PM,YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-6,Monthly,BA,,KEYS FENCE, Hydraulic cylinder maintenance,YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-7,Monthly,BA,,KEYS FENCE, Bearing maintenance and lubricationn,YesNo,Yes,Specific List
7.2BAMonthly,7.2,7.2-BA-Monthly,7.2-M-BA-8,Monthly,BA,,KEYS FENCE, General Maintenance,YesNo,Yes,Specific List
7.2BAQuinquennial,7.2,7.2-BA-Quinquennial,7.2-QQ-BA-5,Quinquennial,BA,,KEYS FENCE, Change Hydraulic Fluid,YesNo,Yes,Specific List
7.2SGBi-Annual,7.2,7.2-SG-Bi-Annual,7.2-BA-SG-2,Bi-Annual,SG,,KEYS FENCE, Lubricate bearings,YesNo,Yes,Specific List
7.2SGBi-Annual,7.2,7.2-SG-Bi-Annual,7.2-BA-SG-3,Bi-Annual,SG,,KEYS FENCE,"Inspect; V-belts, chain, sprokets, Lubricate",YesNo,Yes,Specific List
7.2SGMonthly,7.2,7.2-SG-Monthly,7.2-M-SG-1,Monthly,SG,,KEYS FENCE,Preventive Maintenance Inspection ,YesNo,Yes,Specific List
2.3FTSTMonthly,2.3,2.3-FTST-Monthly,2.3-M-FTST-1,Monthly,FTST,,LEONARD POWERS,"Perform visual test with test valve or audial tests of trap using ultrasonic detector. Check supply pressure, temperature, back pressure and condensate load to trap. If cold, check for clogged pipe/equipment, closed valve or plugged strainer/drip leg.",YesNo,Yes,Specific List
2.3FTSTMonthly,2.3,2.3-FTST-Monthly,2.3-M-FTST-1A,Monthly,FTST,,LEONARD POWERS,Adjust equipment settings to ensure trap is performing under design conditions. Unclog and clogged pipes or equipment. Open any closed valves. Unplug any strainers or drip legs. Clean out trap if required. Inspect Float & thermostatic trap.,YesNo,Yes,Specific List
2.3HX(PF)Triennial,2.3,2.3-HX(PF)-Triennial,2.3-T-HX(PF)-2,Triennial,HX(PF),,LEONARD POWERS,"Check for evidence of build-up, fouling, corrosion, or degradation on plate heat exchange surfaces. Clean and restore as needed to ensure acceptable condition.",YesNo,Yes,Specific List
PLTWeekly,,-PLT-Weekly,7.4-4M-PLT-3,Weekly,PLT,,LIRR,WEEK1:  Buff Terrazzo Floor,YesNo,Yes,Specific List
PLTWeekly,,-PLT-Weekly,7.4-4M-PLT-3,Weekly,PLT,,LIRR,WEEK1:  Buff Terrazzo Floor,YesNo,Yes,Specific List
PLTWeekly,,-PLT-Weekly,7.4-4M-PLT-3A,Weekly,PLT,,LIRR,WEEK2:  Buff Terrazzo Floor,YesNo,Yes,Specific List
PLTWeekly,,-PLT-Weekly,7.4-4M-PLT-3B,Weekly,PLT,,LIRR,WEEK3:  Buff Terrazzo Floor,YesNo,Yes,Specific List
PLTWeekly,,-PLT-Weekly,7.4-4M-PLT-3C,Weekly,PLT,,LIRR,WEEK4:  Buff Terrazzo Floor,YesNo,Yes,Specific List
2.16MDSemi-Annual,2.16,2.16-MD-Semi-Annual,2.16-SA-MD-1A,Semi-Annual,MD,MSC,MSC,Adjust and lubricate as necessary. A record of each inspection and test shall be maintained on the premises as required per NYC BC 909.3.1.,YesNo,Yes,Specific List
2.16TBFAnnual,2.16,2.16-TBF-Annual,2.16-A-TBF-7,Annual,TBF,,MSC,Inspect rotors for dirt accumulation Inspect rotors for dirt accumulation,YesNo,Yes,Specific List
2.16TBFAnnual,2.16,2.16-TBF-Annual,2.16-A-TBF-8,Annual,TBF,,MSC,"Prepare summary report. Fans shall be examined for correct rotation. Measurements of voltage, amperage, and revolutions per minute (rpm) shall be made.",YesNo,Yes,Specific List
2.16TBFAnnual,2.16,2.16-TBF-Annual,2.16-A-TBF-8A,Annual,TBF,,MSC,"Report to include maintenance logs, completed checklist, graphical plots for vibration, shock pulse, bearing and winding temperature trends. A record of each inspection and test shall be maintained on the premises as required per NYC BC 909.3.1.",YesNo,Yes,Specific List
2.16TBFBi-Annual,2.16,2.16-TBF-Bi-Annual,2.16-BA-TBF-10,Bi-Annual,TBF,,MSC,Bearing grease renewal Replace bearing grease,YesNo,Yes,Specific List
2.16TBFBi-Annual,2.16,2.16-TBF-Bi-Annual,2.16-BA-TBF-9,Bi-Annual,TBF,,MSC,Check Tightness of exposed nuts and bolts Check Tightness of exposed nuts and bolts,YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-1,Quarterly,TBF,,MSC,"Visual inspection of fan and connecting ductwork Visual inspect condition of fans and connecting ductwork, check all connections and fastenings for tightness",YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-2,Quarterly,TBF,,MSC,"Operational inspection of fan Run fan for 15 minutes and collect data for vibration, shock pulse levels for motor bearing, motor bearing temperature, motor winding temperature, motor voltage and current",YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-3,Quarterly,TBF,,MSC,Check motor bearing grease levels Check motor bearing grease levels,YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-4,Quarterly,TBF,,MSC,Check that all electrical connections are tight Check that all electrical connections are tight,YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-5,Quarterly,TBF,,MSC,Check impeller clearances and fan alignment Check impeller clearances and fan alignment,YesNo,Yes,Specific List
2.16TBFQuarterly,2.16,2.16-TBF-Quarterly,2.16-Q-TBF-6,Quarterly,TBF,,MSC,Perform a dielectric test on fan motor to test integrity of winding insulation Perform a dielectric test on fan motor to test integrity of winding insulation,YesNo,Yes,Specific List
2.16TVFAnnual,2.16,2.16-TVF-Annual,2.16-A-TVF-7,Annual,TVF,,MSC,Inspect rotors for dirt accumulation Inspect rotors for dirt accumulation,YesNo,Yes,Specific List
2.16TVFAnnual,2.16,2.16-TVF-Annual,2.16-A-TVF-8,Annual,TVF,,MSC,"Prepare summary report. Fans shall be examined for correct rotation. Measurements of voltage, amperage, and revolutions per minute (rpm) shall be made.",YesNo,Yes,Specific List
2.16TVFAnnual,2.16,2.16-TVF-Annual,2.16-A-TVF-8A,Annual,TVF,,MSC,"Report to include maintenance logs, completed checklist, graphical plots for vibration, shock pulse, bearing and winding temperature trends. A record of each inspection and test shall be maintained on the premises as required per NYC BC 909.3.1.",YesNo,Yes,Specific List
2.16TVFBi-Annual,2.16,2.16-TVF-Bi-Annual,2.16-BA-TVF-10,Bi-Annual,TVF,,MSC,Bearing grease renewal Replace bearing grease,YesNo,Yes,Specific List
2.16TVFBi-Annual,2.16,2.16-TVF-Bi-Annual,2.16-BA-TVF-9,Bi-Annual,TVF,,MSC,Check Tightness of exposed nuts and bolts Check Tightness of exposed nuts and bolts,YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-1,Quarterly,TVF,,MSC,"Visual inspection of fan and connecting ductwork Visual inspect condition of fans and connecting ductwork, check all connections and fastenings for tightness",YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-2,Quarterly,TVF,,MSC,"Operational inspection of fan Run fan for 15 minutes and collect data for vibration, shock pulse levels for motor bearing, motor bearing temperature, motor winding temperature, motor voltage and current",YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-3,Quarterly,TVF,,MSC,Check motor bearing grease levels Check motor bearing grease levels,YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-4,Quarterly,TVF,,MSC,Check that all electrical connections are tight Check that all electrical connections are tight,YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-5,Quarterly,TVF,,MSC,Check impeller clearances and fan alignment Check impeller clearances and fan alignment,YesNo,Yes,Specific List
2.16TVFQuarterly,2.16,2.16-TVF-Quarterly,2.16-Q-TVF-6,Quarterly,TVF,,MSC,Perform a dielectric test on fan motor to test integrity of winding insulation Perform a dielectric test on fan motor to test integrity of winding insulation,YesNo,Yes,Specific List
ACU(TEC)Annual,,-ACU(TEC)-Annual,2.16-A-ACU(TEC)-6,Annual,ACU(TEC),TROUBLESHOOT ONLY - DELETE TASK,REMOVE,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.16AHUAnnual,2.16,2.16-AHU-Annual,2.16-A-AHU-13,Annual,AHU,AHUs ARE WATER ONLY - N/A -DELETE TASK,REMOVE,"Check refrigerant system temperatures. When outside of recommended levels, find and record the cause.",YesNo,Yes,Specific List
2.7AHUAnnual,2.7,2.7-AHU-Annual,2.7-A-AHU-13,Annual,AHU,AHUs ARE WATER ONLY - N/A -DELETE TASK,REMOVE,"Check refrigerant system temperatures. When outside of recommended levels, find and record the cause.",YesNo,Yes,Specific List
CONWeekly,,-CON-Weekly,7.4-4M-CON-18,Weekly,CON,DUPLICATE,REMOVE,WEEK1: Inspect lighting fixtures & bulbs. Replace as needed.,YesNo,Yes,Specific List
CONWeekly,,-CON-Weekly,7.4-4M-CON-18,Weekly,CON,DUPLICATE,REMOVE,WEEK1: Inspect lighting fixtures & bulbs. Replace as needed.  *DUPLICATE OF UNITY 3.4,YesNo,Yes,Specific List
CONWeekly,,-CON-Weekly,7.4-4M-CON-18A,Weekly,CON,DUPLICATE,REMOVE,WEEK2: Inspect lighting fixtures & bulbs. Replace as needed.  *DUPLICATE OF UNITY 3.4,YesNo,Yes,Specific List
CONWeekly,,-CON-Weekly,7.4-4M-CON-18B,Weekly,CON,DUPLICATE,REMOVE,WEEK3: Inspect lighting fixtures & bulbs. Replace as needed.  *DUPLICATE OF UNITY 3.4,YesNo,Yes,Specific List
CONWeekly,,-CON-Weekly,7.4-4M-CON-18C,Weekly,CON,DUPLICATE,REMOVE,WEEK4: Inspect lighting fixtures & bulbs. Replace as needed.  *DUPLICATE OF UNITY 3.4,YesNo,Yes,Specific List
DDCQuarterly,,-DDC-Quarterly,2.16-Q-DDC-1,Quarterly,DDC,N/A - DELETE TASK,REMOVE,"For systems designed specifically for humidity control, measure relative humidity. Clean, lubricate, adjust.  Performed with equipment",YesNo,Yes,Specific List
DEMSemi-Annual,,-DEM-Semi-Annual,4.6-SA-DEM-2,Semi-Annual,DEM,N/A - DELETE TASK,REMOVE,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust.   Performed with equipment",YesNo,Yes,Specific List
2.4GFWHMonthly,2.4,2.4-GFWH-Monthly,2.4-M-GFWH-14A,Monthly,GFWH,GSH (SUB 1ST TIME THEN US) - NOT RECOMMENDED FOR UNNECESSARY WEAR AND TEAR ON VALVE MECHANISM,REMOVE,"Lift the lever at the top of valve several times until the valve seats properly and operates freely. If it fails to completely reset and continues to release water, replace.",YesNo,Yes,Specific List
HTRQuarterly,,-HTR-Quarterly,2.3-Q-HTR-1,Quarterly,HTR,GSH - SEPARATE TASK FROM HTR - ALSO NOT REALISTIC TO DO AS PM ,REMOVE,"Inspect thermal insulation and lagging for damgage or missing. Record location of damage or missing insulation/lagging, panel U, circuit U and date.",YesNo,Yes,Specific List
HTRQuarterly,,-HTR-Quarterly,2.3-Q-HTR-2,Quarterly,HTR,GSH - SEPARATE TASK FROM HTR - ALSO NOT REALISTIC TO DO AS PM,REMOVE,"Inspect thermal insulation water seal and for presence of moisture. Record location of missing water seal and/or presence of moisture, , panel U, circuit U and date.",YesNo,Yes,Specific List
HTRSemi-Annual,,-HTR-Semi-Annual,2.6-SA-HTR-1,Semi-Annual,HTR,GSH - SEPARATE TASK FROM HTR - ALSO NOT REALISTIC TO DO AS PM,REMOVE,"Inspect thermal insulation and lagging for damgage or missing. Record location of damage or missing insulation/lagging, panel U, circuit U and date. Replace if damaged or wet.",YesNo,Yes,Specific List
HTRSemi-Annual,,-HTR-Semi-Annual,2.6-SA-HTR-2,Semi-Annual,HTR,GSH - SEPARATE TASK FROM HTR - ALSO NOT REALISTIC TO DO AS PM,REMOVE,"Inspect thermal insulation water seal and for presence of moisture. Record location of missing water seal and/or presence of moisture, , panel U, circuit U and date. Replace if damaged",YesNo,Yes,Specific List
MEZWeekly,,-MEZ-Weekly,7.4-4M-MEZ-4,Weekly,MEZ,DUPLICATE,REMOVE,WEEK1: Inspect lighting fixtures & bulbs. Replace as needed.,YesNo,Yes,Specific List
2.4RPSemi-Annual,2.4,2.4-RP-Semi-Annual,2.4-SA-RP-2,Semi-Annual,RP,N/A,REMOVE,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust. (RECIRC PUMP IN YSB)",YesNo,Yes,Specific List
SDSAnnual,,-SDS-Annual,2.3-A-SDS-9,Annual,SDS,DUPLICATE OF SDS-8 - DELETE TASK,REMOVE,"Check for proper fluid flow and for fluid leaks. Adjust flow when outside of recommended flow range. When leaking, find and record the location of identified leaks.",YesNo,Yes,Specific List
2.12SPSemi-Annual,2.12,2.12-SP-Semi-Annual,2.12-SA-SP-1,Semi-Annual,SP,N/A - DUPLICATE OF PCP,REMOVE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.16UHSemi-Annual,2.16,2.16-UH-Semi-Annual,2.16-SA-UH-2,Semi-Annual,UH,N/A - DIRECT DRIVE,REMOVE,"Check fan-belt tension, check for belt wear, and check sheaves for evidence of improper alignment or evidence of wear. Correct tension and sheave
alignment.",YesNo,Yes,Specific List
2.7UHSemi-Annual,2.7,2.7-UH-Semi-Annual,2.7-SA-UH-3,Semi-Annual,UH,N/A - DIRECT DRIVE,REMOVE,"Check fan-belt tension, check for belt wear, and check sheaves for evidence of improper alignment or evidence of wear. Correct tension and sheave
alignment.",YesNo,Yes,Specific List
2.16BEFAnnual,2.16,2.16-BEF-Annual,2.16-A-BEF-7,Annual,BEF,,RENEWEDGE,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.7BEFSemi-Annual,2.7,2.7-BEF-Semi-Annual,2.7-SA-BEF-7,Semi-Annual,BEF,,RENEWEDGE,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.16CPSemi-Annual,2.16,2.16-CP-Semi-Annual,2.16-SA-CP-1,Semi-Annual,CP,,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.3CTSemi-Annual,2.3,2.3-CT-Semi-Annual,2.3-SA-CT-10,Semi-Annual,CT,,RENEWEDGE,"Check variable-frequency drive for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed.
Clean or replace air filter.",YesNo,Yes,Specific List
2.16EFSemi-Annual,2.16,2.16-EF-Semi-Annual,2.16-SA-EF-2,Semi-Annual,EF,,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.7EFSemi-Annual,2.7,2.7-EF-Semi-Annual,2.7-SA-EF-2,Semi-Annual,EF,,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.8EFSemi-Annual,2.8,2.8-EF-Semi-Annual,2.8-SA-EF-5,Semi-Annual,EF,,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.9EFSemi-Annual,2.9,2.9-EF-Semi-Annual,2.9-SA-EF-5,Semi-Annual,EF,,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.7EF(D)Annual,2.7,2.7-EF(D)-Annual,2.7-A-EF(D)-4,Annual,EF(D),,RENEWEDGE,"Check variable-frequency drive or motor starter for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.2HDSAnnual,2.2,2.2-HDS-Annual,2.2-A-HDS-11,Annual,HDS,,RENEWEDGE,"Check the control box for dirt, debris, and/or loose terminations. Clean and tighten electrical connections as needed.",YesNo,Yes,Specific List
2.2HDSAnnual,2.2,2.2-HDS-Annual,2.2-A-HDS-2,Annual,HDS,,RENEWEDGE,Check that the backup digital control program is current. Update if not current.,YesNo,Yes,Specific List
2.2HDSAnnual,2.2,2.2-HDS-Annual,2.2-A-HDS-3,Annual,HDS,,RENEWEDGE,Check battery backup and verify proper operation. Clean and maintain batteries as needed.,YesNo,Yes,Specific List
2.2HDSQuarterly,2.2,2.2-HDS-Quarterly,2.2-Q-HDS-1,Quarterly,HDS,,RENEWEDGE,"Measure PPM of H2 System in spaces served. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.2HDSQuarterly,2.2,2.2-HDS-Quarterly,2.2-Q-HDS-13,Quarterly,HDS,,RENEWEDGE,Check sensor condition. Calibrate sensor. Change sensor as neeeded.,YesNo,Yes,Specific List
2.2HDSQuarterly,2.2,2.2-HDS-Quarterly,2.2-Q-HDS-14,Quarterly,HDS,,RENEWEDGE,Check display monitor. Check for errors. Clean and calibrate.,YesNo,Yes,Specific List
2.2HDSSemi-Annual,2.2,2.2-HDS-Semi-Annual,2.2-SA-HDS-10,Semi-Annual,HDS,,RENEWEDGE,"Check set points, trended points, and time schedules. Note and respond as required.",YesNo,Yes,Specific List
2.2HDSSemi-Annual,2.2,2.2-HDS-Semi-Annual,2.2-SA-HDS-4,Semi-Annual,HDS,,RENEWEDGE,Check to ensure that the unit is operational and functioning as intended. Restore as required.,YesNo,Yes,Specific List
2.2HDSSemi-Annual,2.2,2.2-HDS-Semi-Annual,2.2-SA-HDS-5,Semi-Annual,HDS,,RENEWEDGE,Check to ensure that the strobes and horns are operational. Restore as required.,YesNo,Yes,Specific List
2.2HDSSemi-Annual,2.2,2.2-HDS-Semi-Annual,2.2-SA-HDS-6,Semi-Annual,HDS,,RENEWEDGE,"Simulate an alarm condition in the system to verify the system is operational. Check that interconnected exhaust fan is activated. If fan does not engage when alarm is simulated, repair connections/relays. If fan, still does not engage, inform HVAC technican responsible for fan maintenance and repair of issue. Restore as required.",YesNo,Yes,Specific List
2.2HDSSemi-Annual,2.2,2.2-HDS-Semi-Annual,2.2-SA-HDS-9,Semi-Annual,HDS,,RENEWEDGE,Check time-of-day schedule to confirm consistency with facility operation. Adjust schedule as needed.,YesNo,Yes,Specific List
2.3REFAnnual,2.3,2.3-REF-Annual,2.3-A-REF-10,Annual,REF,,RENEWEDGE,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.3REFSemi-Annual,2.3,2.3-REF-Semi-Annual,2.3-SA-REF-6,Semi-Annual,REF,,RENEWEDGE,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.3RLPAnnual,2.3,2.3-RLP-Annual,2.3-A-RLP-10,Annual,RLP,,RENEWEDGE,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.3RLPAnnual,2.3,2.3-RLP-Annual,2.3-A-RLP-12,Annual,RLP,,RENEWEDGE,Check to see that backup of digital control program is current. Update when it is not current.,YesNo,Yes,Specific List
2.3RLPAnnual,2.3,2.3-RLP-Annual,2.3-A-RLP-13,Annual,RLP,RENEWEDGE,RENEWEDGE,"Check battery backup and verify proper operation. Clean and maintain batteries as
needed.",YesNo,Yes,Specific List
2.3RLPAnnual,2.3,2.3-RLP-Annual,2.3-A-RLP-2,Annual,RLP,,RENEWEDGE,Verify actuator movement and device response to control output. Lubricate and align as needed.,YesNo,Yes,Specific List
2.3RLPQuarterly,2.3,2.3-RLP-Quarterly,2.3-Q-RLP-1,Quarterly,RLP,,RENEWEDGE,"For systems designed specifically for humidity control, measure relative humidity. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.3RLPSemi-Annual,2.3,2.3-RLP-Semi-Annual,2.3-SA-RLP-7,Semi-Annual,RLP,,RENEWEDGE,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.3RLPSemi-Annual,2.3,2.3-RLP-Semi-Annual,2.3-SA-RLP-8,Semi-Annual,RLP,,RENEWEDGE,Check time-of-day schedule to confirm consistency with facility operation. Adjust schedule as needed.,YesNo,Yes,Specific List
2.3RLPSemi-Annual,2.3,2.3-RLP-Semi-Annual,2.3-SA-RLP-9,Semi-Annual,RLP,,RENEWEDGE,"Check set points, trended points, and time schedules. Note and respond as required.",YesNo,Yes,Specific List
2.16VFDAnnual,2.16,2.16-VFD-Annual,2.16-A-VFD-1,Annual,VFD,,RENEWEDGE,Visual inspection of VFD equipment. Clean interior VFD components using compressed air,YesNo,Yes,Specific List
2.16VFDAnnual,2.16,2.16-VFD-Annual,2.16-A-VFD-2,Annual,VFD,,RENEWEDGE,"Visual inspection of VFD electrical
connections. Check connections and correct torque.",YesNo,Yes,Specific List
2.16VFDSemi-Annual,2.16,2.16-VFD-Semi-Annual,2.16-SA-VFD-3,Semi-Annual,VFD,,RENEWEDGE,"Check variable-frequency drive for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.7VFDSemi-Annual,2.7,2.7-VFD-Semi-Annual,2.7-SA-VFD-1,Semi-Annual,VFD,,RENEWEDGE,"Check variable-frequency drive for proper operation. Correct as needed. Clean
housing, and tighten
connections as needed. Clean
or replace air filter.",YesNo,Yes,Specific List
2.16BEFSemi-Annual,2.16,2.16-BEF-Semi-Annual,2.16-SA-BEF-3,Semi-Annual,BEF,,RENEWEDGE/TORFI,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.7BEFSemi-Annual,2.7,2.7-BEF-Semi-Annual,2.7-SA-BEF-3,Semi-Annual,BEF,,RENEWEDGE/TORFI,"Check control system and devices for evidence of improper operation. Clean, lubricate, adjust.",YesNo,Yes,Specific List
2.3GMUSemi-Annual,2.3,2.3-GMU-Semi-Annual,2.3-SA-GMU-2,Semi-Annual,GMU,GSH (NO INTEGRAL ET - SEPARATE ASSETS),REVIEW DWGS,Examine the expansion tank diaphragm/bladder for damage. Record location of damage.,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-27,Bi-Weekly,EL,,SCHINDLER,WEEKA: Check the tension in all belts and chains Adjust as necessary.,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-27A,Bi-Weekly,EL,,SCHINDLER,WEEKB: Check the tension in all belts and chains Adjust as necessary.,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-28,Bi-Weekly,EL,,SCHINDLER,WEEKA: Test all operating and safety switches and devices as pe ASME 17.1 and BCNYS requirements. Adjust all operating and safety switches and devices as necessary.,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-28A,Bi-Weekly,EL,,SCHINDLER,WEEKB: Test all operating and safety switches and devices as pe ASME 17.1 and BCNYS requirements. Adjust all operating and safety switches and devices as necessary.,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-29,Bi-Weekly,EL,,SCHINDLER,WEEKA: All moving parts shall be inspected to ensure they are in proper operating condition All moving parts shall be properly adjusted,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-29A,Bi-Weekly,EL,,SCHINDLER,WEEKB: All moving parts shall be inspected to ensure they are in proper operating condition All moving parts shall be properly adjusted,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-3,Bi-Weekly,EL,,SCHINDLER,WEEKA: General Inspection of all machinery Lubricate as required,YesNo,Yes,Specific List
8.2ELBi-Weekly,8.2,8.2-EL-Bi-Weekly,8.2-2M-EL-30,Bi-Weekly,EL,,SCHINDLER,WEEKA: All structural components shall be inspected to ensure that their integrity has not been compromised ,YesNo,Yes,Specific List
